breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Pyrenean Shepherd,"Affectionate, Active, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17160341/Pyrenean-Shepherd-standing-in-profile-in-a-field.jpg,"Enthusiastic, mischievous, and whip-smart, the Pyrenean Shepherd is an indefatigable herder descended from ancient sheepdogs of the Pyrenees mountains. Tough and sinewy Pyr Sheps come in “rough-faced” and “smooth-faced” coat varieties.",Ranks 181 of 197,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",15-30 pounds,Late teens,Herding Group,40%,60%,80%,60%,40%,"['Black', 'Black & White', 'Blue Merle', 'Brindle', 'Brindle Merle', 'Fawn', 'Fawn Merle', 'Gray', 'Slate Gray', 'White']"
Rafeiro do Alentejo,"Confident, Calm, Powerful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194145/Rafeiro-do-Alentejo-MP-1.jpg,"The Rafeiro do Alentejo is an excellent farm and estate watch dog. He is also a very useful livestock protector, being more vigilant at night and very serious when guarding territory or any other property entrusted to him. He has a calm and confident expression.",NA,25-29 inches,77-132 pounds,12-14 years,Foundation Stock Service,Missing 'Care' Scales for 'Rafeiro do Alentejo',Missing 'Care' Scales for 'Rafeiro do Alentejo',Missing 'Care' Scales for 'Rafeiro do Alentejo',Missing 'Care' Scales for 'Rafeiro do Alentejo',Missing 'Care' Scales for 'Rafeiro do Alentejo',"['Black', 'Brindle', 'Fawn', 'Wolfgray', 'Yellow']"
Rat Terrier,"Friendly, Inquisitive, Lovable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225148/Rat-Terrier-On-White-01.jpg,"An American original with a breed name said to be coined by Teddy Roosevelt, the Rat Terrier is a compact, tough, smooth-coated exterminator dog. The breed comes in two size varieties and are happy-go-lucky, playful, and portable companions.",Ranks 86 of 197,"10-13 inches (miniature), 13-18 inches (standard)",10-25 pounds,12-18 years,Terrier Group,40%,60%,60%,80%,80%,"['Black & White', 'Black Tan & White', 'Black White & Tan', 'Blue White & Tan', 'Red White & Sable', 'White', 'White & Apricot', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Chocolate', 'White & Fawn', 'White & Lemon', 'White & Red', 'White & Silver', 'White & Tan', 'White Black & Tan', 'White, Chocolate & Tan']"
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20142238/Redbone-Coonhound.jpg,"The streamlined Redbone Coonhound, an American original, is even-tempered, mellow, and kindly at home but a tiger on the trail. Vigorous activities like hunting and swimming between long periods of rest is the rhythm of coonhound life.",Ranks 142 of 197,"22-27 inches (male), 21-26 inches (female)",45-70 pounds,12-15 years,Hound Group,40%,60%,60%,80%,80%,['Red']
Rhodesian Ridgeback,"Affectionate, Dignified, Even-Tempered",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30133241/Rhodesian-Ridgeback-standing-in-profile-outdoors.jpg,"The Rhodesian Ridgeback is an all-purpose “Renaissance hound” whose hallmark is the ridge, or stripe of backward-growing hair, on his back. Though the breed was made famous in its native Africa for its skill at tracking and baying – but never, ever killing – lions, today Ridgebacks are cherished family dogs whose owners must be prepared to deal with their independence and strong prey drive.",Ranks 41 of 197,"25-27 inches (male), 24-26 inches (female)","85 pounds (male), 70 pounds (female)",~10 years,Hound Group,40%,60%,60%,40%,60%,"['Light Wheaten', 'Light Wheaten Black Nose', 'Light Wheaten Brown Nose', 'Red Wheaten Black Nose', 'Red Wheaten Brown Nose', 'Red Wheaten', 'Wheaten', 'Wheaten Black Nose', 'Wheaten Brown Nose']"
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/19173802/Romanian-Mioritic-Shepherd-Dog-laying-in-a-field-in-a-mountainous-landscape.jpg,The Romanian Mioritic Shepherd Dog origins come from near the Carpathian Mountains. The breed is very impressive in size and character.,NA,"27-29 inches (males), 22.5-28 inches (females)",100-130 lbs,12-14 years,Foundation Stock Service,40%,40%,60%,40%,20%,"['Gray', 'White']"
Rottweiler,"Loyal, Loving, Confident Guardian",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224942/Rottweiler-On-White-10.jpg,"The Rottweiler is a robust working breed of great strength descended from the mastiffs of the Roman legions. A gentle playmate and protector within the family circle, the Rottie observes the outside world with a self-assured aloofness.",Ranks 8 of 197,"24-27 inches (male), 22-25 inches (female)","95-135 pounds (male), 80-100 pounds (female)",9-10 years,Working Group,40%,60%,60%,60%,40%,"['Black & Mahogany', 'Black & Rust', 'Black & Tan']"
Russell Terrier,"Alert, Inquisitive, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224927/Russell-Terrier-On-White-03.jpg,"Upbeat, lively, inquisitive, and friendly, the jaunty Russell Terrier was developed by England's ""Sporting Parson"" for use in foxhunts. The adorable Russell Terrier looks like a plush toy come to life but is an eager, tireless working terrier.",Ranks 82 of 197,10-12 inches,9-15 pounds,12-14 years,Terrier Group,40%,40%,100%,60%,80%,['White']
Russian Toy,"Loyal, Smart, Charming",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03115758/Russian-Toy.8.jpg,"The Russian Toy is a small, elegant, lively dog with long legs, fine bones and lean muscles. They are active and cheerful, possessing keen intelligence and a desire to please. This breed loves to snuggle and be close to their human companions, although sometimes slightly aloof to strangers. They are neither cowardly nor aggressive.",NA,8-11 inches,Up to 6.5 pounds,12-14+ years,Miscellaneous Class,40%,20%,60%,60%,80%,"['Black & Tan', 'Blue & Tan', 'Brown & Tan', 'Red', 'Red & Brown', 'Red Sable']"
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19145436/Russian-Tsvetnaya-Bolonka-standing-on-a-white-background.jpg,"Russkaya Tsvetnaya Bolonka translates to ""Russian Colored Lapdog."" Bolonki were originally bred to be the ultimate house pet for apartment living. Sweet, loving, intelligent, and willing to please, he is friendly to all and shows no sign of aggression.",NA,9-10 inches,4.5-11 pounds,12-16 years,Foundation Stock Service,60%,20%,60%,60%,80%,"['Black', 'Brown', 'Gray', 'Red', 'Wolfgray', 'Blue', 'Cream', 'Fawn', 'Silver']"
Saint Bernard,"Playful, Charming, Inquisitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224843/Saint-Bernard-On-White-01.jpg,"The Saint Bernard does not rank very high in AKC registrations, but the genial giant of the Swiss Alps is nonetheless among the world’s most famous and beloved breeds. Saints are famously watchful, patient, and careful with children.",Ranks 48 of 197,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,Working Group,40%,60%,60%,60%,80%,"['Brindle Grizzle', 'Brown & White', 'Mahogany & White', 'Orange & White', 'Red & White', 'Rust & White', 'White & Brown', 'White & Orange', 'White & Red']"
Saluki,"Gentle, Dignified, Independent-Minded",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14185322/AKC-121716-139.jpg,"Among the world’s oldest breeds, the slim but rugged Saluki was the hunting hound of kings for thousands of years. Salukis are swift and agile sprinters who love a good chase. They make gentle, dignified, and independent but loyal pets.",Ranks 120 of 197,"23-28 inches (male), considerably smaller (female)",40-65 pounds,10-17 years,Hound Group,20%,40%,80%,40%,40%,"['Black', 'Black & Silver', 'Black & Tan', 'Black Tan & White', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Golden', 'Red', 'Silver', 'White']"
Samoyed,"Adaptable, Friendly, Gentle",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20122208/Samoyed-standing-in-the-forest.jpg,"The Samoyed is a substantial but graceful dog standing anywhere from 19 to a bit over 23 inches at the shoulder. Powerful, tireless, with a thick all-white coat impervious to cold—Sammies are perfectly beautiful but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The upturned corners of the mouth keep Sammies from drooling, preventing icicles from forming on the face.",Ranks 59 of 197,"21-23.5 inches (male), 19-21 inches (female)","45-65 pounds (male), 35-50 pounds (female)",12-14 years,Working Group,60%,60%,80%,40%,80%,"['Biscuit', 'Cream', 'White', 'White & Biscuit']"
Schapendoes,"Friendly, Watchful, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224720/Schapendoes-On-White-01.jpg,"This shaggy sheepdog of Holland is also known as the Dutch Sheep Dog. Schapendoes are cheerful, funny, clever and brave and are very good family pets. They also have a strong desire to please.",NA,16-20 inches,26-55 pounds,12-15 years,Foundation Stock Service,40%,60%,60%,80%,60%,"['Beige', 'Black', 'Black & White', 'Brown', 'Chocolate & White', 'Gray', 'Gray & White', 'Tri-Colored', 'White', 'Beige & Brown', 'Beige & White', 'Black & Beige', 'Black & Gray', 'Black & Silver', 'Black Gray & Beige', 'Black Gray & White', 'Black White & Silver', 'Gray Tan & Beige', 'Red Black & White', 'White & Apricot', 'White & Brown', 'White & Gold', 'White & Liver', 'White & Silver', 'White Gray & Tan']"
Schipperke,"Confident, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224700/Schipperke-On-White-01.jpg,"The Schipperke, Belgium's ""little captain,"" is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment.",Ranks 105 of 197,"11-13 inches (male), 10-12 inches (female)",10-16 pounds,12-14 years,Non-Sporting Group,40%,60%,80%,40%,60%,"['Black', 'Apricot', 'Black & Tan', 'Blue', 'Chocolate', 'Cream', 'Fawn', 'Gray', 'Red', 'White']"
Scottish Deerhound,"Gentle, Dignified, Polite",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27183249/Scottish-Deerhound-standing-in-the-woods.jpg,"The crisply coated Scottish Deerhound, “Royal Dog of Scotland,” is a majestically large coursing hound struck from the ancient Greyhound template. Among the tallest of dog breeds, the Deerhound was bred to stalk the giant wild red deer.",Ranks 158 of 197,"30-32 inches (male), 28 inches & up (female)","85-110 pounds (male), 75-95 pounds (female)",8-11 years,Hound Group,20%,60%,60%,40%,60%,"['Blue Gray', 'Brindle', 'Gray', 'Gray Brindle', 'Black', 'Black Brindle', 'Blue']"
Scottish Terrier,"Confident, Independent, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224538/Scottish-Terrier-On-White-02.jpg,"A solidly compact dog of vivid personality, the Scottish Terrier is an independent, confident companion of high spirits. Scotties have a dignified, almost-human character. Their terrier persistence has earned the breed the nickname “the Diehard.”",Ranks 57 of 197,10 inches,"19-22 pounds (male), 18-21 pounds (female)",12 years,Terrier Group,60%,40%,60%,40%,60%,"['Black', 'Black Brindle', 'Brindle', 'Red Brindle', 'Silver Brindle', 'Wheaten']"
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29172440/Sealyham-Terrier-standing-outdoors.jpg,"The Sealyham Terrier is brave and spirited, but not as spiky as smaller terriers. These sturdy, outgoing companions are recognized by their “fall,” the mass of hair covering the forehead. Sealy fans enjoy their dog’s sly sense of humor.",Ranks 164 of 197,10.5 inches,"23-24 pounds (male), slightly less (females)",12-14 years,Terrier Group,60%,60%,60%,40%,60%,['White']
Segugio Italiano,"Friendly, Intelligent, Eager to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/07114637/Segugio-Italiano-slideshow-08.jpg,"Calm, responsive, and intelligent, the Segugio Italiano is a tenacious hunter and an excellent pet.",NA,19-23 inches,40-60 pounds,11-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Segugio Italiano',Missing 'Care' Scales for 'Segugio Italiano',Missing 'Care' Scales for 'Segugio Italiano',Missing 'Care' Scales for 'Segugio Italiano',Missing 'Care' Scales for 'Segugio Italiano',"['Tawny', 'Black & Tan', 'Grizzle', 'Tan & Black']"
Shetland Sheepdog,"Playful, Energetic, Bright",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224438/Shetland-Sheepdog-On-White-01.jpg,"The Shetland Sheepdog, also known as the Sheltie, is an extremely intelligent, quick, and obedient herder from Scotland’s remote and rugged Shetland Islands. Shelties bear a strong family resemblance to their bigger cousin, the Collie.",Ranks 25 of 197,13-16 inches,15-25 pounds,12-14 years,Herding Group,60%,60%,60%,100%,40%,"['Black & White', 'Black White & Tan', 'Blue Merle & White', 'Blue Merle White & Tan', 'Sable & White', 'Sable Merle & White', 'Black & Tan', 'White', 'White & Black', 'White & Sable', 'White & Sable Merle', 'White Black & Tan', 'White Blue Merle', 'White Blue Merle & Tan']"
Shiba Inu,"Alert, Active, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26114711/Shiba-Inu-standing-in-profile-outdoors.jpg,"An ancient Japanese breed, the Shiba Inu is a little but well-muscled dog once employed as a hunter. Today, the spirited, good-natured Shiba is the most popular companion dog in Japan. The adaptable Shiba is at home in town or country.",Ranks 44 of 197,"14.5-16.5 inches (male), 13.5-15.5 inches (female)","23 pounds (male), 17 pounds (female)",13-16 years,Non-Sporting Group,40%,60%,60%,40%,40%,"['Black & Tan', 'Cream', 'Red', 'Red Sesame']"
Shih Tzu,"Affectionate, Playful, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224329/Shih-Tzu-On-White-01.jpg,"That face! Those big dark eyes looking up at you with that sweet expression! It’s no surprise that Shih Tzu owners have been so delighted with this little “Lion Dog” for a thousand years. Where Shih Tzu go, giggles and mischief follow.",Ranks 20 of 197,9-10.5 inches,9-16 pounds,10-18 years,Toy Group,80%,20%,60%,60%,80%,"['Black', 'Black & White', 'Blue', 'Blue & White', 'Brindle', 'Brindle & White', 'Gold', 'Gold & White', 'Liver', 'Liver & White', 'Red', 'Red & White', 'Silver', 'Silver & White', 'Black Gold & Silver', 'Black Gold & White', 'Black White & Silver', 'Silver Gold & White', 'White']"
Shikoku,"Energetic, Alert, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06181326/Shikoku-standing-outdoors.jpg,"The Shikoku is a dog of marked endurance, keen in sense with a naive feeling, energetic and highly alert. He is an enthusiastic hunter and docile towards his master.",NA,17-22 inches,35-55 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'Shikoku',Missing 'Care' Scales for 'Shikoku',Missing 'Care' Scales for 'Shikoku',Missing 'Care' Scales for 'Shikoku',Missing 'Care' Scales for 'Shikoku',"['Black & Tan', 'Black Sesame', 'Red', 'Red Sesame', 'Sesame']"
Siberian Husky,"Loyal, Mischievous, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26155623/Siberian-Husky-standing-outdoors-in-the-winter.jpg,"The Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. This northern breed is friendly, fastidious, and dignified.",Ranks 14 of 197,"21-23.5 inches (male), 20-22 inches (female)","45-60 pounds (male), 35-50 pounds (female)",12-14 years,Working Group,40%,60%,80%,40%,80%,"['Agouti & White', 'Black', 'Black & White', 'Black Tan & White', 'Brown & White', 'Gray & White', 'Red & White', 'Sable & White', 'White']"
Silky Terrier,"Friendly, Quick, Keenly Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224133/Silky-Terrier-On-White-01.jpg,"A charming member of the AKC Toy Group, the compact, glossy-coated Silky Terrier is nonetheless a true terrier of energetic high spirits. The Silky, a native of Sydney, Australia, is larger than his close cousin, the Yorkshire Terrier.",Ranks 112 of 197,9-10 inches,around 10 pounds,13-15 years,Toy Group,60%,40%,60%,60%,60%,"['Black', 'Black & Tan', 'Blue', 'Blue & Tan', 'Blue Silver & Tan', 'Cream', 'Fawn', 'Gray', 'Gray & Tan', 'Platinum', 'Silver', 'Silver & Tan', 'Silver Black & Tan']"
Skye Terrier,"Courageous, Good-Tempered, Canny",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26164828/Skye-Terrier-standing-outdoors-in-profile.jpg,"“The heavenly breed with the heart of a lion,” the long, low, and level Skye Terrier is among the AKC’s most distinctive-looking breeds. This elegant but sturdy aristocrat was bred as an exterminator on Scotland’s remote Isle of Skye.",Ranks 178 of 197,"10 inches (male), 9.5 inches (female)","35-45 pounds (male), slightly lighter (female)",12-14 years,Terrier Group,80%,60%,60%,40%,40%,"['Black', 'Blue', 'Cream', 'Fawn', 'Gray', 'Platinum', 'Silver']"
Sloughi,"Reserved, Graceful, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27130217/Sloughi-in-the-desert.jpg,"The ancient Sloughi, nicknamed the “Arabian Greyhound,” is a lean, swift coursing hound who hunted a variety of game in North African deserts. A classic sighthound, the Sloughi is regally aloof with strangers and gentle with loved ones.",Ranks 192 of 197,"26-29 inches (male), 24-27 inches (female)",45 - 70 pounds,12 -14 years,Hound Group,40%,20%,60%,40%,40%,"['Cream', 'Mahogany', 'Red', 'Sandy']"
Slovakian Wirehaired Pointer,"Smart, Energetic, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/21154900/Slovakian-Wirehaired-Pointer-laying-down-outdoors.jpg,"The Slovakian Wirehaired Pointer is a dog of moderate strength, working type, but with nobleness in his lines.",NA,"24.5-26.5 inches (male), 22.5-26 inches (female)",50-65 pounds,12-15 years,Foundation Stock Service,20%,40%,80%,40%,100%,['Gray']
Slovensky Cuvac,"Courageous, Alert, Faithful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20183605/Slovensky-Cuvac-standing-outdoors.jpg,"The Slovensky Cuvac is boundlessly faithful and courageous and always ready to fight off any intruder, even if they are bears and wolves. In order to distinguish him from wild animals in the night, he is, according to ancient tradition, only bred in white.",NA,23-27.5 inches,68-97 pounds,11-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Slovensky Cuvac',Missing 'Care' Scales for 'Slovensky Cuvac',Missing 'Care' Scales for 'Slovensky Cuvac',Missing 'Care' Scales for 'Slovensky Cuvac',Missing 'Care' Scales for 'Slovensky Cuvac',['White']
Slovensky Kopov,"Courageous, Alert, Determined",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19182351/Kopov-puppies.jpg,"This spirited, persistent hunter will follow a scent for hours. The Slovensky Kopov is a hardy, hardworking breed that is also known for its courage and great endurance and was originally developed to hunt wild boar.",NA,16-20 inches,33-44 pounds,12-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Slovensky Kopov',Missing 'Care' Scales for 'Slovensky Kopov',Missing 'Care' Scales for 'Slovensky Kopov',Missing 'Care' Scales for 'Slovensky Kopov',Missing 'Care' Scales for 'Slovensky Kopov',['Black & Tan']
Small Munsterlander,"Intelligent, Devoted, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19190032/Munsterlander.5.jpg,"The Small Munsterlander is a versatile hunting dog and natural retriever with a medium range, solid pointing instinct, and strong desire for the water. He has excellent tracking abilities for all types of work after the shot. These qualities are enhanced by intelligence and trainability.",NA,20.5-21 inches,40-60 pounds,12-14 years,Miscellaneous Class,20%,60%,100%,60%,80%,"['Brown & White', 'Brown Roan']"
Smooth Fox Terrier,"Friendly, Independent, Amusing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26234338/Smooth-Fox-Terrier-standing-in-a-field-in-winter.jpg,"The Smooth Fox Terrier, called the “gentleman of the terrier world,” is a lively, gregarious terrier with a devil-may-care attitude, originally developed for Britain’s traditional foxhunts. They are close relatives to Wire Fox Terriers.",Ranks 123 of 197,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Terrier Group,40%,40%,80%,60%,80%,"['White', 'White & Black', 'White & Tan', 'White Black & Tan', 'White Tan & Black']"
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223937/Soft-Coated-Wheaten-Terrier-On-White-01.jpg,"The Soft Coated Wheaten Terrier, an exuberant Irish farm dog, is happy, friendly, deeply devoted, and just stubborn enough to remind you he’s a terrier. The unique wheaten coat is low-shedding but needs diligent care to avoid matting.",Ranks 53 of 197,"18-19 inches (male), 17-18 inches (female)","35-40 pounds (male), 30-35 pounds (female)",12-14 years,Terrier Group,60%,20%,80%,40%,60%,['Wheaten']
Spanish Mastiff,"Affectionate, Intelligent, Kind",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29125304/Spanish-Mastiff.jpg,"The Spanish Mastiff is a very intelligent dog, not without beauty, whose expression manifests both these qualities. Rustic, affectionate, kind and noble, he is very determined when facing dangerous animals and in front of strangers, especially when he has the opportunity to defend and protect farms or cattle. In his behaviour, one can see it is a dog sure of himself, determining his strength because he is aware of his enormous power.",NA,Minimum 28-35 inches,140-200 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'Spanish Mastiff',Missing 'Care' Scales for 'Spanish Mastiff',Missing 'Care' Scales for 'Spanish Mastiff',Missing 'Care' Scales for 'Spanish Mastiff',Missing 'Care' Scales for 'Spanish Mastiff',"['Black', 'Fawn', 'Red', 'Wolfgray', 'Yellow']"
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26223654/Spanish-Water-Dog.jpg,"The inexhaustible Spanish Water Dog is a dual-purpose breed whose hallmark is a coat of wooly curls. Used as both a herder and waterfowl retriever in his homeland, this rustic charmer is a lively family companion and vigilant watchdog.",Ranks 153 of 197,"17.5-19.75 inches (male), 15.75-18 inches (female)","40-49 pounds (male), 31-40 pounds (female)",12-14 years,Herding Group,100%,20%,80%,100%,40%,"['Beige & White With Black Nose', 'Beige & White With Brown Nose', 'Beige With Black Nose', 'Black', 'Black & White', 'Brown', 'Brown & White', 'White & Beige With Black Nose', 'White & Beige With Brown Nose', 'White & Black', 'White & Brown', 'White With Black Nose', 'White With Brown Nose']"
Spinone Italiano,"Sociable, Patient, Docile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223825/Spinone-Italiano-On-White-03.jpg,"The Spinone Italiano, a densely-coated hunting dog, is sociable, docile, and patient, sometimes stubborn but always endearing. Of ancient Italian lineage, the Spinone is among the field dogs of Continental Europe famed for versatility.",NA,Ranks 109 of 197,"23-27 inches (male), 22-25 inches (female)",10-12 years,Sporting Group,Missing 'Care' Scales for 'Spinone Italiano',Missing 'Care' Scales for 'Spinone Italiano',Missing 'Care' Scales for 'Spinone Italiano',Missing 'Care' Scales for 'Spinone Italiano',Missing 'Care' Scales for 'Spinone Italiano',"['Brown Roan', 'Orange Roan', 'White', 'White & Orange']"
Stabyhoun,"Intelligent, Responsive, Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31125942/AdobeStock_62619970.jpg,"Although occasionally somewhat willful by nature, Stabyhouns are obedient, gentle, and patient dogs, who are deeply fond of their family, wanting to please their owners. He is both a soft-mouthed retriever and a pointer that is particularly useful for hunting ducks and upland birds. He is a fine retriever, and water work is one of his fortes. He is very sharp-eyed, owns a good sense of smell and aptitude, and works fast and efficiently.",NA,19-21 inches,40-60 pounds,13-15 years,Foundation Stock Service,20%,60%,80%,80%,60%,"['Black & White', 'Brown & White', 'Orange & White']"
Staffordshire Bull Terrier,"Clever, Brave, Tenacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223754/Staffordshire-Bull-Terrier-On-White-03.jpg,"From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids.",Ranks 80 of 197,14-16 inches,"28-38 pounds (male), 24-34 pounds (female)",12-14 years,Terrier Group,40%,40%,80%,20%,80%,"['Black', 'Black & White', 'Blue', 'Blue & White', 'Brindle', 'Brindle & White', 'Fawn', 'Fawn & White', 'Red', 'Red & White', 'White', 'White & Brindle', 'White & Fawn', 'White & Red', 'Black & Tan', 'Liver']"
Standard Schnauzer,"Fearless, Smart, Spirited",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15162521/Standard-Schnauzer-standing-outdoors.jpg,"The bold, bewhiskered Standard Schnauzer is a high-spirited farm dog from Germany. They are the sometimes-willful but ever reliable medium-sized members of the Schnauzer family of breeds. The Standard's sporty look is a canine classic.",Ranks 89 of 197,"18.5-19.5 inches (male), 17.5-18.5 inches (female)","35-50 pounds (male), 30-45 pounds (female)",13-16 years,Working Group,60%,20%,60%,40%,80%,"['Black', 'Pepper & Salt']"
Sussex Spaniel,"Friendly, Merry, Even-Tempered",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223645/Sussex-Spaniel-On-White-01.jpg,"""Placid, affectionate, even-tempered, true-blue, loyal"" — all are words used to describe the Sussex Spaniel, a slow-but-steady hunter and congenial housedog. His frowning expression is delightfully at odds with a typically cheerful nature.",Ranks 180 of 197,13-15 inches,35-45 pounds,13-15 years,Sporting Group,60%,60%,60%,40%,40%,['Golden Liver']
Swedish Lapphund,"Playful, Intelligent, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193246/Swedish-Lapphund-MP.jpg,"Lively, alert, kind and affectionate. The Lapphund is very receptive, attentive and willing to work. Its abilities as a good herding dog made it very useful in the reindeer trade. It is very versatile, suitable for obedience training, agility, herding, tracking, etc. It is easy to train, full of endurance and toughness.",NA,16-20 inches,30-45 pounds,12-14 years,Foundation Stock Service,40%,60%,60%,20%,60%,"['Black', 'Liver']"
Swedish Vallhund,"Friendly, Energetic, Watchful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17140753/Swedish-Vallhund-running-in-the-grass.jpg,"The long and low Swedish Vallhund, Viking Dog of ancient legend, is a smart and sociable herder of dense coat and boundless energy. These rugged cattle dogs are known for their zest for life, unique vocalizations, and cheerful demeanor.",Ranks 169 of 197,"12.5-13.75 inches (male), 11.5-12.75 inches (female)",20-35 pounds,12-15 years,Herding Group,20%,60%,100%,100%,80%,"['Gray', 'Red', 'Black', 'Blue', 'White', 'Yellow']"
Taiwan Dog,"Loyal, Versatile, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190316/Taiwan-Dog-MP.jpg,"The Taiwan Dog is extremely faithful to his master, keen in sense, alert in movement, bold and fearless. He is a medium-sized dog with triangular head, almond shaped eyes, thin pricked ears and a sickle tail.",NA,17-20 inches,26-40 pounds,9-13 years,Foundation Stock Service,40%,60%,100%,80%,40%,"['Black', 'Brindle', 'Fawn', 'White', 'White & Black', 'White & Brindle', 'White & Fawn', 'Red']"
